index,37,45,profit:,-997.4320200000075,portfolio:,-997.4320200000075,buy:,1.2776027851,sell:,1.2676284649,ao,-0.00029348623352931646
index,50,60,profit:,-926.4104499999812,portfolio:,-1923.8424699999887,buy:,1.2817521821,sell:,1.2724880776,ao,-0.002108550028235401
index,63,123,profit:,3898.0078700000013,portfolio:,1974.1654000000126,buy:,1.2777273103,sell:,1.316707389,ao,-0.0024981041029408235
index,147,192,profit:,969.6305200000061,portfolio:,2943.7959200000187,buy:,1.3290289695,sell:,1.3387252747,ao,-0.0018919796835292768
index,200,235,profit:,2971.095410000009,portfolio:,5914.891330000028,buy:,1.3721264368,sell:,1.4018373909,ao,-0.0001998562152945027
index,236,253,profit:,-3485.602049999987,portfolio:,2429.289280000041,buy:,1.4159948105,sell:,1.38113879,ao,-0.009813744995293971
index,310,340,profit:,446.772420000023,portfolio:,2876.061700000064,buy:,1.312224521,sell:,1.3166922452,ao,-0.0007845901017644596
index,358,381,profit:,-645.2942199999816,portfolio:,2230.7674800000823,buy:,1.3213670565,sell:,1.3149141143,ao,-0.0007848643558823198
index,387,404,profit:,-1607.9475699999894,portfolio:,622.8199100000929,buy:,1.337386852,sell:,1.3213073763,ao,-0.0001460290629413663
index,438,482,profit:,1999.5787199999904,portfolio:,2622.3986300000834,buy:,1.3191153239,sell:,1.3391111111,ao,-0.0007488934552939419
index,501,506,profit:,-398.35052999999607,portfolio:,2224.0481000000873,buy:,1.3409131127,sell:,1.3369296074,ao,-0.005762514272352748
