close:,0.77896,currency:,AUDUSD,date:,2021-02-18-12:50,high:,0.779,low,0.77882,open,0.7789
close:,0.77882,currency:,AUDUSD,date:,2021-02-18-12:51,high:,0.77897,low,0.77872,open,0.77897
close:,0.77851,currency:,AUDUSD,date:,2021-02-18-12:52,high:,0.77883,low,0.77851,open,0.77882
close:,0.77838,currency:,AUDUSD,date:,2021-02-18-12:53,high:,0.77861,low,0.77836,open,0.77851
close:,0.77842,currency:,AUDUSD,date:,2021-02-18-12:54,high:,0.77845,low,0.77826,open,0.77837
close:,0.77832,currency:,AUDUSD,date:,2021-02-18-12:55,high:,0.77846,low,0.77826,open,0.77842
close:,0.77832,currency:,AUDUSD,date:,2021-02-18-12:56,high:,0.77839,low,0.77829,open,0.77831
close:,0.77827,currency:,AUDUSD,date:,2021-02-18-12:57,high:,0.77832,low,0.77815,open,0.77831
close:,0.77836,currency:,AUDUSD,date:,2021-02-18-12:58,high:,0.77838,low,0.77827,open,0.77828
close:,0.77826,currency:,AUDUSD,date:,2021-02-18-12:59,high:,0.77837,low,0.77826,open,0.77836
close:,0.77818,currency:,AUDUSD,date:,2021-02-18-13:00,high:,0.77844,low,0.77814,open,0.77828
close:,0.77812,currency:,AUDUSD,date:,2021-02-18-13:01,high:,0.77817,low,0.77802,open,0.77813
close:,0.77817,currency:,AUDUSD,date:,2021-02-18-13:02,high:,0.77818,low,0.77803,open,0.77812
close:,0.7782,currency:,AUDUSD,date:,2021-02-18-13:03,high:,0.77822,low,0.77806,open,0.77816
close:,0.77824,currency:,AUDUSD,date:,2021-02-18-13:04,high:,0.77832,low,0.77805,open,0.77821
close:,0.77845,currency:,AUDUSD,date:,2021-02-18-13:05,high:,0.77845,low,0.77817,open,0.77824
close:,0.77851,currency:,AUDUSD,date:,2021-02-18-13:06,high:,0.77854,low,0.77836,open,0.77846
close:,0.77873,currency:,AUDUSD,date:,2021-02-18-13:07,high:,0.77873,low,0.77842,open,0.77848
close:,0.77864,currency:,AUDUSD,date:,2021-02-18-13:08,high:,0.77884,low,0.77864,open,0.77874
close:,0.77859,currency:,AUDUSD,date:,2021-02-18-13:09,high:,0.77866,low,0.77856,open,0.77863
close:,0.77836,currency:,AUDUSD,date:,2021-02-18-13:10,high:,0.77857,low,0.77832,open,0.77857
close:,0.77842,currency:,AUDUSD,date:,2021-02-18-13:11,high:,0.77844,low,0.77822,open,0.77834
close:,0.77867,currency:,AUDUSD,date:,2021-02-18-13:12,high:,0.77872,low,0.77842,open,0.77842
close:,0.7789,currency:,AUDUSD,date:,2021-02-18-13:13,high:,0.77894,low,0.77868,open,0.77868
close:,0.77869,currency:,AUDUSD,date:,2021-02-18-13:14,high:,0.77892,low,0.7786,open,0.77891
close:,0.77842,currency:,AUDUSD,date:,2021-02-18-13:15,high:,0.77876,low,0.77834,open,0.77868
close:,0.77833,currency:,AUDUSD,date:,2021-02-18-13:16,high:,0.77844,low,0.77824,open,0.77843
close:,0.77845,currency:,AUDUSD,date:,2021-02-18-13:17,high:,0.77846,low,0.77826,open,0.77834
close:,0.77844,currency:,AUDUSD,date:,2021-02-18-13:18,high:,0.77854,low,0.77841,open,0.77847
close:,0.77816,currency:,AUDUSD,date:,2021-02-18-13:19,high:,0.77844,low,0.77816,open,0.77844
close:,0.77802,currency:,AUDUSD,date:,2021-02-18-13:20,high:,0.7782,low,0.77798,open,0.77819
close:,0.77811,currency:,AUDUSD,date:,2021-02-18-13:21,high:,0.77812,low,0.77802,open,0.77802
close:,0.77806,currency:,AUDUSD,date:,2021-02-18-13:22,high:,0.77816,low,0.778,open,0.77812
close:,0.77816,currency:,AUDUSD,date:,2021-02-18-13:23,high:,0.77824,low,0.778,open,0.77806
close:,0.7784,currency:,AUDUSD,date:,2021-02-18-13:24,high:,0.7784,low,0.77812,open,0.77816
close:,0.77822,currency:,AUDUSD,date:,2021-02-18-13:25,high:,0.77841,low,0.77822,open,0.77841
close:,0.77815,currency:,AUDUSD,date:,2021-02-18-13:26,high:,0.77834,low,0.77812,open,0.77824
close:,0.77824,currency:,AUDUSD,date:,2021-02-18-13:27,high:,0.77826,low,0.77812,open,0.77816
close:,0.77815,currency:,AUDUSD,date:,2021-02-18-13:28,high:,0.77826,low,0.77814,open,0.77825
close:,0.77803,currency:,AUDUSD,date:,2021-02-18-13:29,high:,0.77817,low,0.77803,open,0.77817
close:,0.77808,currency:,AUDUSD,date:,2021-02-18-13:30,high:,0.77822,low,0.778,open,0.77805
close:,0.77798,currency:,AUDUSD,date:,2021-02-18-13:31,high:,0.7782,low,0.77781,open,0.77816
close:,0.77786,currency:,AUDUSD,date:,2021-02-18-13:32,high:,0.778,low,0.77783,open,0.77793
close:,0.7781,currency:,AUDUSD,date:,2021-02-18-13:33,high:,0.77818,low,0.77784,open,0.77787
close:,0.77794,currency:,AUDUSD,date:,2021-02-18-13:34,high:,0.77809,low,0.77784,open,0.77808
close:,0.77807,currency:,AUDUSD,date:,2021-02-18-13:35,high:,0.7781,low,0.77792,open,0.77793
close:,0.77799,currency:,AUDUSD,date:,2021-02-18-13:36,high:,0.77816,low,0.77789,open,0.77806
close:,0.77773,currency:,AUDUSD,date:,2021-02-18-13:37,high:,0.77801,low,0.77763,open,0.778
close:,0.77772,currency:,AUDUSD,date:,2021-02-18-13:38,high:,0.77778,low,0.77754,open,0.77775
close:,0.7779,currency:,AUDUSD,date:,2021-02-18-13:39,high:,0.77796,low,0.7777,open,0.7777
close:,0.77813,currency:,AUDUSD,date:,2021-02-18-13:40,high:,0.77816,low,0.77779,open,0.77793
close:,0.77811,currency:,AUDUSD,date:,2021-02-18-13:41,high:,0.77816,low,0.77797,open,0.77814
close:,0.77823,currency:,AUDUSD,date:,2021-02-18-13:42,high:,0.77832,low,0.77811,open,0.77812
close:,0.77809,currency:,AUDUSD,date:,2021-02-18-13:43,high:,0.77826,low,0.77806,open,0.77826
close:,0.77792,currency:,AUDUSD,date:,2021-02-18-13:44,high:,0.77814,low,0.77792,open,0.7781
close:,0.7778,currency:,AUDUSD,date:,2021-02-18-13:45,high:,0.77796,low,0.77766,open,0.77792
close:,0.77793,currency:,AUDUSD,date:,2021-02-18-13:46,high:,0.77794,low,0.77773,open,0.77776
close:,0.77786,currency:,AUDUSD,date:,2021-02-18-13:47,high:,0.77802,low,0.77779,open,0.77794
close:,0.778,currency:,AUDUSD,date:,2021-02-18-13:48,high:,0.77806,low,0.77786,open,0.77788
close:,0.77764,currency:,AUDUSD,date:,2021-02-18-13:49,high:,0.77804,low,0.7776,open,0.77804
close:,0.7776,currency:,AUDUSD,date:,2021-02-18-13:50,high:,0.77776,low,0.77746,open,0.77766
close:,0.77764,currency:,AUDUSD,date:,2021-02-18-13:51,high:,0.77777,low,0.77758,open,0.77759
close:,0.7776,currency:,AUDUSD,date:,2021-02-18-13:52,high:,0.77786,low,0.77759,open,0.77766
close:,0.77758,currency:,AUDUSD,date:,2021-02-18-13:53,high:,0.7776,low,0.77748,open,0.77759
close:,0.7775,currency:,AUDUSD,date:,2021-02-18-13:54,high:,0.77762,low,0.77742,open,0.77756
close:,0.7777,currency:,AUDUSD,date:,2021-02-18-13:55,high:,0.77776,low,0.77748,open,0.77749
close:,0.77755,currency:,AUDUSD,date:,2021-02-18-13:56,high:,0.77772,low,0.77753,open,0.7777
close:,0.77776,currency:,AUDUSD,date:,2021-02-18-13:57,high:,0.77778,low,0.77755,open,0.77756
close:,0.77776,currency:,AUDUSD,date:,2021-02-18-13:58,high:,0.77802,low,0.77775,open,0.77776
close:,0.77775,currency:,AUDUSD,date:,2021-02-18-13:59,high:,0.77786,low,0.77771,open,0.77778
